temperature,humidity,rainfall,soil_type,label
27.226236527978365,91.25179364785427,26.693154163635015,sandy,muskmelon
21.69293793158419,94.00956976418064,121.28722954116367,alluvial,apple
24.97744538091785,56.446769161618874,166.88347866474456,alluvial,coffee
28.949323105177694,96.18346307045458,141.30997394238224,alluvial,coconut
25.911703111379378,90.63655939373362,76.89118257340274,black,papaya
41.583461683744304,92.88510200845279,86.4409981232456,black,papaya
26.619477762901894,91.36250565091977,218.75630718161915,alluvial,coconut
11.096171312415748,91.63310952874005,112.46628867518115,alluvial,orange
33.40873233854819,92.1055945221704,126.20978471379985,alluvial,papaya
24.462009310487446,83.6304566686133,258.0681663570028,clay,rice
27.85832297720316,90.6818555251473,81.30459722855475,alluvial,papaya
29.0593306200519,75.1386213591286,109.48136460709867,clay,banana
27.11269868863194,93.58590723523379,25.38094664121111,alluvial,muskmelon
28.386519796490706,92.89582704670727,187.71997464225615,alluvial,coconut
25.86574623990623,68.5150338611061,169.85437797630166,alluvial,coffee
29.12796248541783,81.67321304001061,54.73516121821337,sandy,mungbean
25.251682389964753,80.5450927741372,56.72879474752247,sandy,watermelon
22.715692567376863,94.53731588173213,103.06203542125743,red,apple
29.44095674830652,76.99219685837076,98.52552887135187,alluvial,banana
27.46685796300562,33.08233116537325,96.44060221683772,sandy,pigeonpeas
24.75436719838579,61.76789325108337,100.22897038054454,sandy,pigeonpeas
25.227610430437785,69.07201314042638,102.17926526589473,sandy,pigeonpeas
24.956786071922462,79.00530386993276,159.96904095053134,alluvial,jute
24.76216365769421,61.09819667650818,130.9834928700468,alluvial,coffee
28.900587746758553,61.84246483665862,62.57878749597422,red,mothbeans
20.673122196289036,19.539376702208184,146.66341877138217,red,kidneybeans
38.71588023799183,91.31017502253437,225.16063434303322,black,papaya
22.645230564808244,92.80174337175161,114.57230313585553,alluvial,orange
20.986634358961055,92.48161385642189,108.07293388986956,red,orange
21.371880036934016,80.2261364445527,206.02642646106113,clay,rice
28.244103255083687,83.54638176600959,69.1094255235011,alluvial,grapes
26.523236899387346,80.50257396964926,67.89727983738214,sandy,grapes
23.446032794084818,54.22316074863854,157.68118947816026,alluvial,coffee
26.104318634111028,62.3134995703676,64.64710312983703,black,blackgram
10.245880465953443,83.89027294259894,68.60059901930725,alluvial,grapes
27.74570396789241,82.9667365159673,71.75230837562037,sandy,grapes
24.422860485188593,82.2422276098916,203.45686173584517,alluvial,rice
24.190609389379254,80.78009320221219,192.4795616268962,alluvial,rice
23.728204777468818,63.15737198401514,42.25119593118189,alluvial,lentil
26.373711182836196,85.23485412939031,152.91486019311785,alluvial,jute
24.341943753260143,78.15653626982323,63.477582427690166,black,cotton
17.391801042159255,18.853496212123176,70.9246445480186,alluvial,kidneybeans
23.527603525055405,91.51604096879838,110.73619742696756,red,apple
21.215206031242275,91.13379308700257,123.28725967297315,red,apple
25.444035285232054,81.15624396683127,60.51025918829722,black,cotton
20.485529106126158,80.50389000688713,181.45774605212398,clay,rice
27.16110194611455,40.986488322272486,51.3995716869072,sandy,mothbeans
21.464528044860682,90.91461462981043,109.12618916731503,red,apple
29.316802670512516,90.37763543012943,28.275812174807022,alluvial,muskmelon
30.474458420866522,54.66706140018461,98.943325085807,red,mango
23.57523111804296,82.0870550157439,197.76862483765842,alluvial,rice
25.15954288352496,85.40217266778619,41.006458658693276,sandy,watermelon
21.707927503653586,84.86505277376223,211.44781797334082,alluvial,rice
21.64911724487218,22.772699764738377,143.44600375315073,red,kidneybeans
28.810872935908222,83.11806718350886,100.25547125751774,alluvial,banana
20.645662051234307,51.29682729100868,135.22051628607772,alluvial,pigeonpeas
16.50048664693984,19.94805556134036,126.36213696490196,red,kidneybeans
18.31725449231675,92.19149304016582,105.2538661976001,alluvial,orange
12.75044302818859,94.73713999029897,108.46716054701572,red,orange
10.232757269058842,92.21196870374096,100.92138339350936,alluvial,orange
28.850919496890782,63.37249773456639,45.9973712555241,clay,lentil
29.900536499397855,82.24293483285045,51.913132603282136,alluvial,mungbean
26.183181853560544,83.98489797217856,69.7453356262244,sandy,grapes
36.389340662055574,41.81779109909681,174.6145462621947,alluvial,pigeonpeas
23.797944301627435,91.91529403210502,118.23803554941097,red,apple
28.614037790671865,66.87835739849316,66.10207201427585,black,blackgram
20.565856518244622,58.467471905895096,104.83827123132126,red,maize
28.825961430820563,93.21401025081042,185.48825171228083,alluvial,papaya
27.288168602124365,62.69027506391387,62.13146900100854,sandy,mothbeans
21.67719387244046,60.36232202708309,46.767044419663065,clay,lentil
27.786822965444955,92.18035240109657,21.569026241461202,alluvial,muskmelon
28.377933867837193,80.0889407006988,115.84337058063973,clay,banana
24.2455360002039,65.85448886695193,72.58995294534763,black,maize
19.052082366375277,73.7966424722695,91.38540265357089,red,maize
20.181687591735724,57.29673649478407,90.53100212208163,red,maize
24.90678392021384,80.36381503182096,245.7488047432285,clay,rice
21.359783846517775,60.41489346287108,92.19997716195078,alluvial,maize
20.51033720027,88.57811249335593,108.90670947915179,red,pomegranate
28.126895221698625,46.689816918199284,67.59661015839875,red,mothbeans
25.481019042436635,87.56926845127013,52.13432403940008,alluvial,watermelon
28.23027345754094,67.18335349566132,73.32177283401055,black,blackgram
27.387195374487188,92.68429573251309,29.36570218070839,sandy,muskmelon
15.121207746438932,19.447208745597248,147.82863794190484,red,kidneybeans
23.439099759039934,91.11545009222678,51.86829506731904,black,papaya
19.353752019931754,66.8826143070427,79.04454283155107,black,maize
24.66182953156039,82.48287479630847,59.76027924130843,alluvial,watermelon
37.80632896831296,92.25493251324171,61.15809723151102,alluvial,papaya
32.151001612837,64.74526575231575,60.800219954833466,alluvial,blackgram
21.60169397876421,91.07679641427305,107.29667942591,alluvial,apple
27.517038779313964,52.08742916165658,198.5285003652627,alluvial,coffee
27.755994664932214,94.60378225527367,25.815888378497554,sandy,muskmelon
21.794448965334958,94.66796571850625,117.99898848423699,alluvial,apple
27.038890172030815,83.86380361960141,91.41590105092136,clay,banana
15.361603805247622,19.818770135671972,83.68013129197585,red,kidneybeans
19.598004237693203,18.348982773032855,149.53796854527906,alluvial,kidneybeans
33.805212283037044,82.00247812933573,74.11785112381772,alluvial,grapes
22.318580516139065,79.29602743448547,82.17290392334621,black,cotton
25.65208108614844,84.48045649961746,205.44027799774912,clay,rice
16.809769527094897,23.126310560217476,104.30500708032312,alluvial,kidneybeans
25.626284008963452,85.88431240453453,44.21526198859812,alluvial,watermelon
27.739044741726907,90.3162670444934,21.31709535206355,alluvial,muskmelon
18.700854017876935,14.134815849920704,73.06032078154838,alluvial,chickpea
22.707147424103763,84.68364994368368,191.00167553167947,alluvial,rice
25.70456715440583,84.04194376758983,186.0446609526049,alluvial,jute
28.553197484738877,65.39195366516584,60.938472633291774,black,blackgram
